PUERTO,LOCODE,COD_SIRENO
A Coruña,ESLCG,0907
Algeciras,ESALG,0106
Avilés,ESAVS,1418
Ayamonte,ESAYA,0109
Burela,ESBRL,0925
Cádiz,ESCAD,0101
Cedeira,ESCED,0904
Cillero,ESCIO,0926
Finisterre,ESFNE,0913
Gijón,ESGIJ,1417
Huelva,ESHUV,0112
Isla Cristina,ESZGA,0110
Luarca,ESLUA,1420
Marín,ESMPG,0921
Muros,ESMRS,0914
Puerto de Santa María,ESPSM,0118
San Vicente de la Barquera,ESSVB,0405
Sanlúcar de Barrameda,ESSBA,0116
Santa Eugenia de Ribeira,ESSNI,0917
Santander,ESSDR,0402
Santoña,ESSNN,0409
Vigo,ESVGO,0922
Tarifa,ESTRF,0105
Barbate,ESBDF,0103
Punta Umbría,ESZJY,0114
